Screenname	Name	Description	Constituency	Surname	Firstname	Gender	Party	PartyInitials	Status	Remarks
rachelmmccarthy	Rachel McCarthy	I am a Sinn Fein County Councillor for the Bandon/Kinsale/Carrigaline Municipal area	Cork South-West	McCarthy	Rachel	F	Sinn Fein	S.F.	Excluded	Corcaigh Thiar Theas
rboydbarrett	Richard Boyd Barrett	Richard Boyd Barrett is a People Before Profit TD for Dun Laoghaire. Member of Oireachtas Committee on Budget Scrutiny. https://t.co/NQ1xv0uHNO	D“n Laoghaire	Boyd Barrett	Richard	M	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Elected	D“n Laoghaire
readacronin	Cllr Reada Cronin	"Sinn Fein Kildare County Councillor for Maynooth, Kilcock, Clane, and towns and hinterlands from Carrick to Straffan. #RepealThe8th"	Kildare North	Cronin	Reada	F	Sinn Fein	S.F.	Excluded	Cill Dara Thuaidh
reginado	Regina Doherty TD	"Govt Chief Whip, Meath East TD, Fine Gael, member of the 32nd Dail"	Meath East	Doherty	Regina	F	Fine Gael	F.G.	Elected	An Mhi Thoir
richardbrutontd	Richard Bruton	"@FineGael TD, Irish Govt Minister for @Education_Ire, husband, father, (regular) cook, (occasional) runner, swimmer..."	Dublin Bay North	Bruton	Richard	M	Fine Gael	F.G.	Elected	Cuan Bhaile çtha Cliath Thuaidh
richardcahill10	Richard Cahill	"Your Voice where it Counts in County Clare. Representing people, not parties. https://t.co/m8FP0I37lG"	Clare	Cahill	Richard	M	Non-Party	NON-P.	Excluded	An Clar
richardodonoghu	Richard O'Donoghue	"Building Contractor, Member of Limerick City & County Council, Candidate in General Election 2016 in County Limerick. Vintage& Classic Tractors & Car Enthusiast"	Limerick County	O'Donoghue	Richard	M	Non-Party	NON-P.	Excluded	Contae Luimnigh
rmurray1985	Vote Richard Murray	"Richard Murray, independent candidate for Dublin South Central constituency for the general election in 2016. Tel: 085 239 8114 Email: richardmurray@outlook.ie"	Dublin South-Central	Murray	Richard	M	Non-Party	NON-P.	Excluded	Baile çtha Cliath Theas-Lar
roberttroytd	Robert Troy TD	"Fianna Fail's Frontbench Spokesperson Transport, Tourism & Sport"	Longford-Westmeath	Troy	Robert	M	Fianna Fail	F.F.	Elected	An Longfort-An Iarmhi
rodericogorman	Cllr.RodericO'Gorman	"Green Party candidate in Dublin West, Chairperson @greenparty_ie Spokesperson on Justice & Equality, Law lecturer in DublinCityUniversity #EULaw #SocialRights"	Dublin West	O'Gorman	Roderic	M	Green Party/ Comhaontas Glas	G.P.	Excluded	Baile çtha Thiar
roisinshortall	Roisin Shortall	I am a @SocDems TD for Dublin North West. Contact details: 6183593. roisin.shortall@oireachtas.ie	Dublin North-West	Shortall	Roisin	F	Social Democrats	S.D.	Elected	Baile çtha Cliath Thiar Thuaidh
roslynfuller	Roslyn Fuller	"Independent Candidate for Dublin Fingal GE16 - Digital Democracy, International Law Lecturer and Author, Contributor at RT"	Dublin Fingal	Fuller	Roslyn	F	Non-Party	NON-P.	Excluded	Baile çtha Cliath - Fine Gall
ruthcoppingertd	Ruth Coppinger TD	"Anti-Austerity Alliance TD for Dublin West, Socialist Party member, Member of Oireachtas committee on Housing, Planning and Local Government."	Dublin West	Coppinger	Ruth	F	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Elected	Baile çtha Thiar
ryanfeehan09	Teresa Ryan-Feehan	"BA Hons History and Politics. Support  Pieta house, Ruhama, Promote  Birr Junior Youth Club, Historical Society, Play tennis - environment matters."	Offaly	Ryan-Feehan	Teresa	F	Non-Party	NON-P.	Excluded	Uibh Fhaili
seamushealytd	Seamus Healy TD	"Official Twitter Account of Deputy Seamus Healy, Independent TD for Tipperary. WUAG. Mobile: 0872802199 https://t.co/RUvocSJMhI"	Tipperary	Healy	Seamus	M	Non-Party	NON-P.	Elected	Tiobraid çrann
seamusmcmenamin	Seamus McMenamin	"Family doctor, patient advocate. Green Party Spokesperson for Health."	Meath West	McMenamin	Seamus	M	Green Party/ Comhaontas Glas	G.P.	Excluded	An Mhi Thiar
seamussheridan1	Seamus Sheridan	Founder of Sheridans Cheesemongers. Green Party's spokesperson on Agriculture Food and the Marine.  Candidate for Galway West in the next General Election	Galway West	Sheridan	Seamus	M	Green Party/ Comhaontas Glas	G.P.	Excluded	Gaillimh Thiar
sean_haughey	Sean Haughey	Fianna Fail TD for the Dublin Bay North Constituency. #GE16 #DublinBayNorth	Dublin Bay North	Haughey	Sean	M	Fianna Fail	F.F.	Elected	Cuan Bhaile çtha Cliath Thuaidh
seancanney	Sean Canney TD	"TD for Galway East and member of the Independent Alliance. Minister for State at OPW and Flood Relief.Lives in Belclare,Tuam.@indepalliance #ge16 #gye"	Galway East	Canney	Sean	M	Non-Party	NON-P.	Elected	Gaillimh Thoir
seanconlantd	Sean Conlan TD	"If you always do, what you always did, you'll always get, what you always got.' - Mark Twain. Fine Gael TD for Cavan-Monaghan"	Cavan-Monaghan	Conlan	Sean	M	Non-Party	NON-P.	Excluded	An Cabhan-Muineachan
seancrowetd	Sean Crowe	"Sinn Fein TD for Dublin South West and the party's spokesperson on Foreign Affairs, Trade and Defence."	Dublin South-West	Crowe	Sean	M	Sinn Fein	S.F.	Elected	Baile çtha Cliath Thiar Theas
seankynetd	Sean Kyne TD	Aire Stait do Ghnothai Gaeltachta agus Acmhainni Nadurtha-Minister of State for Gaeltacht Affairs & Natural Resources - Fine Gael TD for Galway West/Mayo South	Galway West	Kyne	Sean	M	Fine Gael	F.G.	Elected	Gaillimh Thiar
seanobuachalla	Sean O Buachalla	Green and Irish-speaking/Glas agus Gaelach.	Meath East	O Buachalla	Sean	M	Green Party/ Comhaontas Glas	G.P.	Excluded	An Mhi Thoir
seansherlocktd	Sean Sherlock TD	"Cork East TD (Member of Irish Parliament (Dail) Labour Party. #TEDx, #STEM, #Velo #SeaKayak #PublicExpenditure/ClimateChange/Communications spokesperson"	Cork  East	Sherlock	Sean	M	The Labour Party	LAB.	Elected	Corcaigh Thoir
senatornoone	Sen Catherine Noone	Fine Gael Senator. Seanad Deputy Leader. Practising Solicitor. Seanad Spokesperson on Children. Art lover. Travel addict. Proud Aunty. Mayo Supporter.	Dublin West	Noone	Catherine	F	Fine Gael	F.G.	Excluded	Baile çtha Thiar
senjohnwhelan	John Whelan	"Scribe, surfer, storyteller, (former Senator), lover of the arts, nature, (especially good nature) sunrises & sunsets...The Boys are Back in Town!"	Laois	Whelan	John	M	The Labour Party	LAB.	Excluded	Laois
sfannemarie	Annemarie Roche SF		Galway East	Roche	Annemarie	F	Sinn Fein	S.F.	Excluded	Gaillimh Thoir
shane_rosstd	Shane Ross	Independent TD for Dublin Rathdown; Journalist; Author	Dublin Rathdown	Ross	Shane	M	Non-Party	NON-P.	Elected	Baile çtha Cliath-Rath an D“in
shanecassells	Shane Cassells T.D.	Fianna Fail T.D. for the Meath West Constituency . Fianna Fail party Spokesperson for Local Government Member of the Public Accounts Committee	Meath West	Cassells	Shane	M	Fianna Fail	F.F.	Elected	An Mhi Thiar
shaneobriensf	Cllr Shane O'Brien	Sinn Fein Councillor Killiney/Shankill LEA. Dun Laoghaire Rathdown County Council. General Election Candidate Dunlaoghaire  for #GE16 #right2change	D“n Laoghaire	O'Brien	Shane	M	Sinn Fein	S.F.	Excluded	D“n Laoghaire
shazzglazz	Sharon Briggs PBPA	On FB..Sharon Briggs People Before Profit Bray Candidate Co Wicklow. 2 bring about real local democracy/ 4 the peoples voices 2 be heard..bottom up not top down	Wicklow	Briggs	Sharon	F	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Excluded	Cill Mhantain
shirley52806903	Shirley Griffin		Cork North-West	Griffin	Shirley	F	Non-Party	NON-P.	Excluded	Corcaigh Thiar Thuaidh
simoncoveney	Simon Coveney	"Minister for Housing, Planning and Local Government. Fine Gael TD for Cork South Central."	Cork South-Central	Coveney	Simon	M	Fine Gael	F.G.	Elected	Corcaigh Theas-Lar
simonharristd	Simon Harris TD	Minister for Health in the Irish Government. Wicklow Fine Gael TD.	Wicklow	Harris	Simon	M	Fine Gael	F.G.	Elected	Cill Mhantain
sjhennelly	Sarah Jane Hennelly	"Community Development & Refugee Resettlement Officer. Proud @SocDems Rep for #LimerickCity. MA EU Politics & Law Grad, #UniversityofLimerick  #Repeal"	Limerick City	Hennelly	Sarah Jane	F	Social Democrats	S.D.	Excluded	Cathair Luimnigh
smytho	Cllr Ossian Smyth	Green Party Councillor - CoderDojo mentor - Digital policy spokesperson - Clinical database designer - Father of two	D“n Laoghaire	Smyth	Ossian	M	Green Party/ Comhaontas Glas	G.P.	Excluded	D“n Laoghaire
sndmoore	Sinead Moore	Green Party candidate for Laois in #GE16 Ireland @greenparty_ie. Social & climate justice advocate. Opinions my own.	Laois	Moore	Sinead	F	Green Party/ Comhaontas Glas	G.P.	Excluded	Laois
sofearghail_td	Sean O Fearghail TD	Official Account of Sean O Fearghail is the Ceann Comhairle of the 32nd Dail and a T.D. for Kildare South	Kildare South	O Fearghail	Sean	M	Fianna Fail	F.F.	Elected	Cill Dara Theas
sorchanicc	CllrSorchaNicCormaic	"Teacher, Sinn Fein Councillor, GAA enthusiast (Dubs supporter) and Mammy. @Right2Change @sinnfeinireland candidate @dublinrathdown"	Dublin Rathdown	Nic Cormaic	Sorcha	F	Sinn Fein	S.F.	Excluded	Baile çtha Cliath-Rath an D“in
springaj	Arthur Spring		Kerry	Spring	Arthur J.	M	The Labour Party	LAB.	Excluded	Ciarrai
stephaniebregan	Stephanie Regan	Clinical Psychotherapist . Working for real change in our services and approach to National Mental Health.	Dublin Bay North	Regan	Stephanie Bernadette	F	Fine Gael	F.G.	Excluded	Cuan Bhaile çtha Cliath Thuaidh
stevensgreen1	Cllr Steven Matthews	"Green Party Councillor - Bray, Kilmacanogue & Enniskerry. Cathaoirleach of Bray Municipal District."	Wicklow	Matthews	Steven	M	Green Party/ Comhaontas Glas	G.P.	Excluded	Cill Mhantain
susanokeeffe	Susan O'Keeffe		Sligo-Leitrim	O'Keeffe	Susan	F	The Labour Party	LAB.	Excluded	Sligeach-Liatroim
ted_tynan_wp	Cllr. Ted Tynan	"Workers' Party member of Cork City Council, elected in 2009.  Candidate in 2016 general election for Cork North Central. Actively opposed to water charges."	Cork North-Central	Tynan	Ted	M	Workers Party	W.P.	Excluded	Corcaigh Thuaidh-Lar
thomasbyrnetd	Thomas Byrne	"TD Meath East. FF Education Spokesman. Fairness, Decency, Opportunity + Excellent Public Services. Constituent queries - Thomas.byrne@oir.ie /01 6183310"	Meath East	Byrne	Thomas	M	Fianna Fail	F.F.	Elected	An Mhi Thoir
thomasgouldsf	CLLRThomas Gould	Sinn Fein Councillor for Cork North Central. Proud Irish Republican. All views are my own.	Cork North-Central	Gould	Thomas	M	Sinn Fein	S.F.	Excluded	Corcaigh Thuaidh-Lar
thomasina2016	Thomasina Connell	Solicitor: Principal at Thomasina Connell & Co. Solicitors. 045-525125. Laois woman.	Laois	Connell	Thomasina	F	Fine Gael	F.G.	Excluded	Laois
thomaspringletd	Thomas Pringle T.D.	Independent T.D. for Donegal.	Donegal	Pringle	Thomas	M	Non-Party	NON-P.	Elected	D“n na nGall
timjacksonind	Tim Jackson Ind	I am standing as an Independent Candidate in the 2016 General Election in Donegal. #jacksonfordonegal	Donegal	Jackson	Tim	M	Non-Party	NON-P.	Excluded	D“n na nGall
timmydooley	Timmy Dooley TD	Humble servant to the people of Clare	Clare	Dooley	Timmy	M	Fianna Fail	F.F.	Elected	An Clar
tj_clareind	TJ Clare	IND Community Activist in #dubw  - Contact tjclareind@gmail.com with your issues or concerns	Dublin West	Clare	Tj	M	Non-Party	NON-P.	Excluded	Baile çtha Thiar
tmurphyfingal	Tony Murphy	"Independent Candidate in National Elections 2016 - Fingal area, North Dublin"	Dublin Fingal	Murphy	Tony	M	Non-Party	NON-P.	Excluded	Baile çtha Cliath - Fine Gall
toibin1	Peadar Toibin	"Republican Gael from the Royal 4Life. Meath West TD. Sinn Fein Spokesperson & Cathaoirleach of Arts, Heritage, Regional, Rural & Gaeltacht Affairs Committee."	Meath West	Toibin	Peadar	M	Sinn Fein	S.F.	Elected	An Mhi Thiar
tombarrytd	Tom Barry	Fine Gael TD for Cork East.	Cork East	Barry	Tom	M	Fine Gael	F.G.	Excluded	Corcaigh Thoir
tomhayestd	Tom Hayes	Fine Gael T.D. for Tipperary    Minister of State at the Department of Agriculture	Tipperary	Hayes	Tom	M	Fine Gael	F.G.	Excluded	Tiobraid çrann
tommoranvoteno1	Tom Moran	People Before Profit's man for Mayo: I'm a Westport native and worked as an aviation engineer. Socialist solutions can save us from the privatisation agenda.	Mayo	Moran	Tom	M	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Excluded	Maigh Eo
tommybroughantd	Tommy Broughan	Independent Deputy for Dublin Bay North Constituency	Dublin Bay North	Broughan	Tommy	M	Independents 4 Change	I.4.C	Elected	Cuan Bhaile çtha Cliath Thuaidh
tommyroddy	Tommy Roddy	My opinions on a variety of topics as well as links to letters I have published in local and national papers.	Galway West	Roddy	Tommy	M	Non-Party	NON-P.	Excluded	Gaillimh Thiar
tonymcltd	Tony McLoughlin TD	Assistant Government Whip. Fine Gael T.D. for Sligo - Leitrim Constituency. Sligo office Open Mon - Fri 9.30AM-5.30PM & Weekends by appointment. 071-9110011	Sligo-Leitrim	McLoughlin	Tony	M	Fine Gael	F.G.	Elected	Sligeach-Liatroim
trevorocsf	Trevor OClochartaigh	"Trevor O Clochartaigh, Sinn Fein ata mar Sheanadoir i nGaillimh Thiar - Muigh Eo  /Trevor O Clochartaigh who is a Sinn Fein Senator in Galway West - South Mayo."	Galway West	Clochartaigh	Trevor O	M	Sinn Fein	S.F.	Excluded	Gaillimh Thiar
unadunphy	una dunphy	"PBP Candidate for Waterford, President of WCTU, TU to Repeal the 8th. Lone parent to six,Youthreach teachr ONLY USE TWITTER WHEN PROVOKED...Views mine."	Waterford	Dunphy	Öna	F	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Excluded	Port  Lairge
votefayaaa	Sandra Fay AAA	"AAA #GE16 candidate for #DSW. Priorities equality, housing, health, education, the repeal of the 8th, ending austerity cuts, taxes and water charges."	Dublin South-West	Fay	Sandra	F	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Excluded	Baile çtha Cliath Thiar Theas
votehollandsf	Cllr Sarah Holland	@sinnfeinireland Councillor for Rathfarnham #JoinTheRising	Dublin South-West	Holland	Sarah	F	Sinn Fein	S.F.	Excluded	Baile çtha Cliath Thiar Theas
votekeddy	"Charlie Keddy, Ind."	Vote KEDDY 1. against a tax on homes and a tax on water.	Wicklow	Keddy	Charlie	M	Non-Party	NON-P.	Excluded	Cill Mhantain
votemaryfitz	Mary Fitzpatrick	"Mother, Dublin City Councillor 2004-14, Marketing Professional, member Fianna Fail Dublin Central. https://t.co/aRYGYyoejJ"	Dublin Central	Fitzpatrick	Mary	F	Fianna Fail	F.F.	Excluded	Baile çtha Cliath Lair
votetomneville	Tom Neville TD	"FG TD Co #Limerick #GE16. LimkCoCo 03-09,#le14-16. Aus2010 4yrs. Ex Teacher|Recruiter|Digital Media|Dj. Into Acting|Techno|LFC. Jobs|Mental Health|Arts Priority"	Limerick County	Neville	Tom	M	Fine Gael	F.G.	Elected	Contae Luimnigh
wallacemick	Mick Wallace	This is the official account for Independent TD Mick Wallace https://t.co/Bti280DFq9	Wexford	Wallace	Mick	M	Independents 4 Change	I.4.C	Elected	Loch Garman
willieodealive	Willie O'Dea	"Fianna Fail TD for Limerick City, Former Cabinet Minister & Junior Minister"	Limerick City	O'Dea	Willie	M	Fianna Fail	F.F.	Elected	Cathair Luimnigh
alanfromireland	Alan Lawes 	I am a proud member of Direct Democracy Ireland A National Citizens Movement living in the Navan Co Meath. #GE16 #1YI #Right2Change #DirDemNCM #Meath	Meath West	Lawes	Alan	M	Direct Democracy Ireland	D.D.I.	Excluded	An Mhi Thiar
amomcnally	Ann Marie McNally	Social Democrats Rep for Dublin Mid-West. Political Director for @socdems. @CathMurphyTD consigliere. Grad of MA Political Comms @DublinCityUni	Dublin Mid-West	McNally	Anne Marie	F	Social Democrats	S.D.	Excluded	Baile çtha Cliath Thiar-Mean
annatrevaskisdo	Anna Trevaskis Doyle	Social media strategist @LEA. PBP convener  founder of County Wicklow Right2Water and Wicklow meter watch supports right2change 1YI married with four kids.	Wicklow	Doyle	Anna	F	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Excluded	Cill Mhantöin
adoyletd	Andrew Doyle	"Minister of State for Food, Forestry, and Horticulture, Government of Ireland, and member of Dáil Éireann (Irish Parliament). Email: andrew.doyle@oireachtas.ie"	Wicklow	Doyle	Andrew	M	Fine Gael	F.G.	Elected	Cill Mhantain
annerenua	Anne Farrell	RENUA candidate. Community Welfare Officer/ Fundraiser with PLAN IRELAND Children's Charity/ Mother - Daughter- Sister- Wife-Woman of Ireland	Roscommon-Galway	Farrell	Anne	F	Renua Ireland	R.I.	Excluded	Ros Comain-Gaillimh
disildoforus	Barbara Smyth	"From Portmarnock, living in Longford. spend my day avoiding the laudry room. Living with #RA & #Alopecia.  Politics & life tweets with a bit of crazy thrown in."	Longford West	Smyth	Barbara	F	Non-Party	NP	Excluded	An Longfort-An Iarmhê
niallcollinstd	Niall Collins	"Limerick TD & Fianna Fáil Spokesperson for Jobs, Enterprise & Innovation. Contact 061 300149 niall.collins@oireachtas.ie Media or Press queries to 086 8355219."	Limerick County	Collins	Niall	M	Fianna Fail	F.F.	Elected	Contae Luimnigh
catcarneyboud	Cathleen Carney Boud	"General Election Candidate for Sinn Fein in Dublin North West. Elected councillor for Ballymun ward incl.Finglas East, Glasnevin, Drumcondra, Whitehall & Santry"	Dublin North West	Carney Boud	Cathleen	F	Sinn Fein	S.F.	Excluded	Baile çtha Cliath Thiar Thuaidh
lornabogue	Lorna Bogue	"Green #GE16 candidate for #CorkSC Donating €25,000 of the TD's wage back to the constituency. Repeal the 8th. Redistribute wealth. Reclaim politics."	Cork South-Central	Bogue	Lorna	F	Green Party/ Comhaontas Glas	G.P.	Excluded	Corcaigh Theas-Lar
cavansaysenough	MickMcDermott - DDI	34 Year old National Citizens Movement member. Activist for the rights of the citizens of Ireland that have been failed again by our cowardly Government.	Cavan-Monaghan	McDermott	Michael	M	Direct Democracy Ireland	D.D.I.	Excluded	An Cabhan-Muineachan
davidcullinane	David Cullinane	"I am a member of Dáil Éireann, former Senator & member of Waterford City Council. I am a father to Emmet and Finn. I'm stubborn, kind and opinions are my own"	Waterford	Cullinane	David	M	Sinn Fein	S.F.	Elected	Port  Lairge
chrishe19	Chris Healy		Dublin Mid West	Healy	Christopher	M	Direct Democracy Ireland	D.D.I.	Excluded	Baile çtha Cliath Thiar-Meön
cormacdublin	Cormac McKay	#GlobalCitizen #Human Carer to a 85yr old friend.	Dublin Central	McKay	Cormac	M	Direct Democracy Ireland	D.D.I.	Excluded	Baile çtha Cliath Lair
ddi	Direct Democracy Ire	"Direct Democracy Ireland, The old post office,  Reaghstown, Ardee,  Co.Louth 041-6855743 089-4383597 directdemocracyeire@gmail.com #Irexit"								
djhlimerick	Desmond J Hayes	#limerickmansdiary	Limerick City	Hayes	Des	M	Non-Party	NON-P.	Excluded	Cathair Luimnigh
eddiepbpboyle	Eddie Conroy	People Before Profit Roscommon East Galway	Roscommon-Galway	Conroy	Eddie	M	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Excluded	Ros Comain-Gaillimh
fiannafailparty	Fianna Fail	"Regular updates and breaking news from Fianna Fail, the Republican Party."								
finegael	Fine Gael	"Fine Gael, the party leading the current minority government of Ireland. Join Fine Gael on Facebook: https://t.co/qs4PxBzn2h"								
gearoid4green	Gearóid Fitzgibbon	@TippGreens candidate for #GE2016 & aiming to create a network of rural green activists in Tipperary for a different politics. https://t.co/rWLDSKRIcg	Tipperary	Gearóid	Fitzgibbon	M	Green Party/ Comhaontas Glas	G.P.	Excluded	Tiobraid çrann
greenparty_ie	Green Party Ireland	"Irish progressive political party focused on social justice, peace, democracy and the protection of the environment and our natural resources."								
jimmyheffo	James Heffernan	"A polite well rounded, decent individual & dropper of Pennys. Former Cenataur, stable boy, barman, dell drone, teacher, labourer, dole que. #nomoreevictions"	Cork North-West	Heffernan	James	M	Social Democrats	S.D.	Excluded	Contae Luimnigh
jimpbpcork	Jim O'Connell	Socialist Workers Party -  People Before Profit Alliance		O'Connell	Jim	M	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Excluded	Corcaigh Theas-Lör
mickbarrytd	Mick Barry	Anti Austerity Alliance & Socialist Party TD for Cork North Central.	Cork North-Central	Barry	Mick	M	Anti-Austerity Alliance - People Before Profit	AAA-PBP	Elected	Corcaigh Thuaidh-Lar
labour	The Labour Party	The official Twitter account for the Irish Labour Party								
lorhayde	Lorraine Hayde	I believe we should have an equal society. I am active in the fight against water charges and austerity. Member of National Citizens Movement	Dublin Mid-West	Hennessy	Lorraine	F	Workers Party	W.P.	Excluded	Baile çtha Cliath Thiar-Mean
charlieflanagan	Charlie Flanagan	Charlie Flanagan  Minister for Foreign Affairs & Trade. TD for Laois. Charlie.flanagan@oir.ie	Laois	Flanagan	Charlie	M	Fine Gael	F.G.	Elected	Laois
mairedev	Maire Devine	Seanadoir Devine EQUALITY- minding our minds- Noli timere	Cork  East	Devine	Maire	F	Sinn Fein	S.F.	Excluded	Baile çtha Cliath Theas-Lör
marcellack	Marcella Corcoran Kennedy	Fine Gael TD for Offaly/North Tipperary. Minister of State at Department of Health responsible for Health Promotion.	Offaly	Corcoran Kennedy	Marcella	F	Fine Gael	F.G.	Elected	Uibh Fhaili
mmccarthytd	Carlos Chittum		Cork South-West	McCarthy	Michael	M	The Labour Party	LAB.	Excluded	Corcaigh Thiar Theas
johnlahart	John Lahart	Dublin South West TD - Dublin Spokesperson	Dublin South-West	Lahart	John	M	Fianna Fail	F.F.	Elected	Baile çtha Cliath Thiar Theas
pb4p	People Before Profit	People Before Profit was formed to fight to reverse neo-liberal policies which place wealth creation for the few over the welfare of communities. #repealthe8th								
peterfitz_ie	Peter Fitzpatrick	"Independent #GE16 Candidate in Dublin South West. Founder of Our Children's Health Campaign - Children, Health, Housing & Education key priorities."	Dublin South-West	Fitzpatrick	Peter	M	Non-Party	NON-P.	Excluded	Baile çtha Cliath Thiar Theas
peterburkefg	Peter Burke	Chartered Accountant & Public Representative in Mullingar. Keen interest in Horse Racing & Politics! All views my own.	Longford-Westmeath	Burke	Peter	M	Fine Gael	F.G.	Elected	An Longfort-An Iarmhi
renuaireland	RENUA IRELAND	"RENUA IRELAND is a political party designed for a new age. A modern, open, collaborative party, engaging the nation in a new conversation. #RENUAIreland"	Dublin Fingal							
sharonkeogan	Sharon Keogan	"Mammy, Foster Mother, Businesswoman,Independent County Councillor. All views are my own. Independent Election Candidate 2015/2016"	Meath East	Keogan	Sharon	F	Non-Party	NON-P.	Excluded	An Mhê Thoir
sinnfeinireland	Sinn Fein	"Irish republican party dedicated to the reunification of Ireland and the building of a new republic based on the principles of freedom, justice and equality."								
socdems	Social Democrats	Welcome to the Social Democrats - a new force for change in Irish Society. Our Values: Equality. Democracy. Sustainability. Progress #SocDems								
votemoloneyno1	Emmet Moloney	welcome to the official Twitter election campaign page of voteemmetmoloney	Dublin South-West	Moloney	Emmet	M	Non-Party	Non-P	Excluded	
